i	ID	dateofDecision	senateNumber	chamberNumberCitation	chamberNumberText	judgesFromText_raw	judgesFromText	judgesFromCitation	link
11	11	1BvL1/08	08.05.2013	1	NA	NA	 Vizepräsident Kirchhof Gaier Eichberger Schluckebier Masing Paulus Baer Britz  	Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz	Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/05/ls20130508_1bvl000108.html;jsessionid=014C7C0210A7034039891D581018B8A6.2_cid383
12	12	1BvR1750/09	16.08.2010	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/08/rk20100816_1bvr175009.html;jsessionid=B69AD044311B5622E1A36C4E9D4444D4.2_cid392
13	13	2BvR429/012BvR483/01	20.12.2001	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Mellinghoff  	Limbach, Hassemer, Mellinghoff	Limbach, Hassemer, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/12/rk20011220_2bvr042901.html;jsessionid=4CD9BF079CB18986293CACD8468ADB45.2_cid370
14	14	2BvR62/01	21.02.2001	2	1	NA	 Sommer Broß Mellinghoff  	Sommer, Broß, Mellinghoff	Sommer, Broß, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/02/rk20010221_2bvr006201.html;jsessionid=5E5CA33BBDF24730C040FDE9DFBB7FA1.2_cid370
15	15	1BvR2617/07	04.03.2008	1	3	3	 den Präsidenten Papier die Richter Bryde Schluckebier  	Papier, Bryde, Schluckebier	Papier, Bryde, Schluckebier	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/03/rk20080304_1bvr261707.html;jsessionid=DB8970A9C4B6F61CC9D824E5451AA51C.2_cid392
16	16	1BvR2980/14	11.01.2016	1	1	1	 den Vizepräsidenten Kirchhof   den Richter Eichberger   die Richterin Britz  	Kirchhof, Eichberger, Britz	Kirchhof, Eichberger, Britz	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2016/01/rk20160111_1bvr298014.html;jsessionid=3E6764BD0E12E794E6AD3584F64CDD16.2_cid370
17	17	1BvR820/96	25.03.1998	1	NA	3	 Vizepräsidenten Papier die Richterin Haas den Richter Steiner  	Papier, Haas, Steiner	Papier, Haas, Steiner	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/03/rk19980325_1bvr082096.html;jsessionid=9AA2FF372055DE417258194BD9D84303.2_cid392
18	18	2BvF3/92	28.01.1998	2	NA	NA	 Präsidentin Limbach Graßhof Kruis Kirchhof Winter Sommer Jentsch Hassemer  	Limbach, Graßhof, Kruis, Kirchhof, Winter, Sommer, Jentsch, Hassemer	Limbach, Graßhof, Kruis, Kirchhof, Winter, Sommer, Jentsch, Hassemer	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/01/fs19980128_2bvf000392.html;jsessionid=092ECB9DA1A61C105D59CE71D134F57D.2_cid393
19	19	2BvR150/03	26.02.2003	2	3	NA	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/02/rk20030226_2bvr015003.html;jsessionid=70632630B08C8F8D60607266D4109895.2_cid370
20	20	1BvR1905/02	06.12.2005	1	NA	NA	 des Präsidenten Papier der Richterin Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt der Richter Hoffmann-Riem Bryde Gaier  	Papier, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde, Gaier	Papier, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde, Gaier, , Haas, 	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/12/rs20051206_1bvr190502.html;jsessionid=AF275A447F07F058B5EFD6963BF014B1.2_cid370
21	21	1BvR1406/02	08.01.2004	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde, 	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/01/rk20040108_1bvr140602.html;jsessionid=00DFE83C0A03A3EA869AF3E8CDADF943.2_cid392
22	22	2BvQ57/09	08.09.2009	2	3	3	 den Vizepräsidenten Voßkuhle die Richterin Osterloh den Richter Gerhardt  	Voßkuhle, Osterloh, Gerhardt	Voßkuhle, Osterloh, Gerhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/09/qk20090908_2bvq005709.html;jsessionid=6080B1BEFEB3C4924CD9C62B1356A143.2_cid394
23	23	2BvR955/002BvR1038/01	26.10.2004	2	NA	NA	 Vizepräsident Hassemer Jentsch Broß Osterloh Di Fabio Mellinghoff Lübbe-Wolff Gerhardt  	Hassemer, Jentsch, Broß, Osterloh, Di Fabio, Mellinghoff, Lübbe-Wolff, Gerhardt	Hassemer, Jentsch, Broß, Osterloh, DiFabio, Mellinghoff, Lübbe-Wolff, Gerhardt, , Lübbe-Wolff, 	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/10/rs20041026_2bvr095500.html;jsessionid=B46F6C30003008F0B8E71B68F4E3E5CA.2_cid393
24	24	1BvR1745/06	08.06.2010	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/06/rk20100608_1bvr174506.html;jsessionid=77BEBED17DB4BBFF487690C5ADDC57B8.2_cid392
25	25	2BvR1188/05	16.01.2007	2	1	1	 den Vizepräsidenten Hassemer die Richter Di Fabio Landau  	Hassemer, Di Fabio, Landau	Hassemer, DiFabio, Landau	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/01/rk20070116_2bvr118805.html;jsessionid=C1230190A0535FAEE5932F6D9DC6E70A.2_cid394
26	26	2BvQ21/98	05.06.1998	2	1	1	 Richter Sommer Jentsch Hassemer  	Sommer, Jentsch, Hassemer	Hassemer, Sommer, Jentsch	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/06/qk19980605_2bvq002198.html;jsessionid=532AFF6F2B05A8827DAD097C95C82A8A.2_cid370
27	27	2BvR2846/09	08.06.2011	2	NA	NA	 Präsident Voßkuhle Di Fabio Mellinghoff Lübbe-Wolff Gerhardt Landau Huber Hermanns  	Voßkuhle, Di Fabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns	Voßkuhle, DiFabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/06/rs20110608_2bvr284609.html;jsessionid=483F65C899474C682AE3FFD08EF32BB7.2_cid394
28	28	1BvR1394/07	17.03.2008	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Kirchhof  	Hohmann-Dennhardt, Gaier, Kirchhof	Hohmann-Dennhardt, Gaier, Kirchhof	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/03/rk20080317_1bvr139407.html;jsessionid=9302B7D26FC18AF60523567A9FEC5F58.2_cid361
29	29	2BvL2/97	05.06.1998	2	NA	NA	 Präsidentin Limbach Graßhof Kruis Kirchhof Winter Sommer Jentsch Hassemer  	Limbach, Graßhof, Kruis, Kirchhof, Winter, Sommer, Jentsch, Hassemer	Limbach, Graßhof, Kruis, Kirchhof, Winter, Sommer, Jentsch, Hassemer	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/06/ls19980605_2bvl000297.html;jsessionid=532AFF6F2B05A8827DAD097C95C82A8A.2_cid370
30	30	2BvR1457/96	14.12.2000	2	4	4	 Präsidentin Limbach die Richter Jentsch Di Fabio  	Limbach, Jentsch, Di Fabio	Limbach, Jentsch, DiFabio	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/12/rk20001214_2bvr145796.html;jsessionid=A7A83C8128ACD0340FAF54C5FEAC90B5.2_cid392
31	31	2BvC1/08	25.02.2009	2	NA	NA	 Vizepräsident Voßkuhle Broß Osterloh Di Fabio Mellinghoff Lübbe-Wolff Gerhardt Landau  	Voßkuhle, Broß, Osterloh, Di Fabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau	Voßkuhle, Broß, Osterloh, DiFabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/02/cs20090225_2bvc000108.html;jsessionid=DE2DE7A6B30E76FF36CB2125BC59788F.2_cid393
32	32	1BvR2006/98	22.08.2000	1	3	3	 Vizepräsidenten Papier die Richterinnen Haas Hohmann-Dennhardt  	Papier, Haas, Hohmann-Dennhardt	Papier, Haas, Hohmann-Dennhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/08/rk20000822_1bvr200698.html;jsessionid=B936E3B7FE84BCE89255E956407C2149.2_cid361
33	33	1BvR356/04	31.03.2004	1	2	NA	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/03/rk20040331_1bvr035604.html;jsessionid=9E6829F4FC5436EB800833982DFC4A87.2_cid392
34	34	2BvC34/14	04.04.2016	2	NA	NA	 Präsident Voßkuhle   Landau   Huber   Hermanns   Müller   Kessal-Wulf   König   Maidowski  	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2016/04/cs20160404_2bvc003414.html;jsessionid=C8ED9DFE21CFBCF52B7D4F63EE1FC0AF.2_cid370
35	35	1BvR1603/99	10.12.1999	1	1	1	 den Vizepräsidenten Papier die Richter Grimm Hömig  	Papier, Grimm, Hömig	Papier, Grimm, Hömig	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/12/rk19991210_1bvr160399.html;jsessionid=2179D6219899012BCE4F25B63D7327C4.2_cid392
36	36	1BvR946/07	31.07.2007	1	1	1	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/07/rk20070731_1bvr094607.html;jsessionid=AFF441CD987097FBF104B83B675568EC.2_cid392
37	37	1BvR1813/08	26.11.2008	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Kirchhof  	Hohmann-Dennhardt, Gaier, Kirchhof	Hohmann-Dennhardt, Gaier, Kirchhof	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/11/rk20081126_1bvr181308.html;jsessionid=83184D9ED7117BDE5754B0B017743976.2_cid393
38	38	1BvR91/06	10.02.2006	1	1	NA	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/02/rk20060210_1bvr009106.html;jsessionid=4BBD583ED58E82460B3102898C0A9078.2_cid392
39	39	2BvQ43/15	27.11.2015	2	3	3	 die Richter Landau   Müller   die Richterin Kessal-Wulf  	Landau, Müller, Kessal-Wulf	Landau, Müller, Kessal-Wulf	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/11/qk20151127a_2bvq004315.html;jsessionid=C95CB424CE4C0BAD18B943448E3D3FDD.2_cid393
40	40	2BvR1877/972BvR50/98	None	NA	NA	NA	 – Judges President Limbach Graßhof Kruis Kirchhof Winter Sommer Jentsch Hassemer –  	Limbach, Graßhof, Kruis, Kirchhof, Winter, Sommer, Jentsch, Hassemer	Limbach, Graßhof, Kruis, Kirchhof, Winter, Sommer, Jentsch, Hassemer	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/EN/1998/03/rs19980331_2bvr187797en.html;jsessionid=30E82D87436A8B2C7A9BFCD5CB480106.2_cid394
41	41	1BvQ28/15	20.08.2015	1	2	2	 die Richter Gaier   Schluckebier   Paulus  	Gaier, Schluckebier, Paulus	Gaier, Schluckebier, Paulus	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/08/qk20150820_1bvq002815.html;jsessionid=04D538A18A65A7BCBC346954028EEB4D.2_cid361
42	42	1BvR1946/06	08.02.2011	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/02/rk20110208_1bvr194606.html;jsessionid=91AD1AA0CA412E1A6D82E8B7CAF192BE.2_cid393
43	43	1BvQ51/02	14.01.2003	1	NA	NA	 des Präsidenten Papier der Richterinnen Jaeger Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt der Richter Hoffmann-Riem Bryde  	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/01/qs20030114_1bvq005102.html;jsessionid=50932CD28FA7218491695AA3F17BE07E.2_cid361
44	44	1BvR467/13	24.06.2015	1	1	1	 den Vizepräsidenten Kirchhof   den Richter Eichberger   die Richterin Britz  	Kirchhof, Eichberger, Britz	Kirchhof, Eichberger, Britz	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/06/rk20150624_1bvr046713.html;jsessionid=E8AD9433912452FF9900D47BEB666A8A.2_cid383
45	45	1BvR303/11	20.06.2011	1	2	2	 die Richter Gaier Paulus die Richterin Britz  	Gaier, Paulus, Britz	Gaier, Paulus, Britz	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/06/rk20110620_1bvr030311.html;jsessionid=F59D0307D760635D47E7290396324DC4.2_cid361
46	46	1BvL6/10	17.12.2013	1	NA	NA	 Vizepräsident Kirchhof Gaier Eichberger Schluckebier Masing Paulus Baer Britz  	Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz	Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/12/ls20131217_1bvl000610.html;jsessionid=EC96AD7626F4F98DDB14C162E5E04834.2_cid383
47	47	2BvR1413/01	19.02.2003	2	1	NA	 die Richter Sommer Di Fabio die Richterin Lübbe-Wolff  	Sommer, Di Fabio, Lübbe-Wolff	Sommer, DiFabio, Lübbe-Wolff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/02/rk20030219_2bvr141301.html;jsessionid=399D11A88B06EFC600FFA5833CBA2E1A.2_cid394
48	48	2BvR252/97	14.06.1998	2	NA	3	 die Richterin Präsidentin Limbach die Richterin Graßhof den Richter Kirchhof  	Limbach, Graßhof, Kirchhof	Limbach, Graßhof, Kirchhof	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/06/rk19980614_2bvr025297.html;jsessionid=A80AC76F2E663B765A48CA1567C7C390.2_cid393
49	49	2BvR2419/06	06.05.2008	2	1	1	 den Vizepräsidenten Hassemer die Richter Di Fabio Landau  	Hassemer, Di Fabio, Landau	Hassemer, DiFabio, Landau	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/05/rk20080506_2bvr241906.html;jsessionid=45B4D59DD02083EAD47B4078E498DDD9.2_cid361
50	50	2BvR1784/03	22.10.2003	2	3	NA	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/10/rk20031022_2bvr178403.html;jsessionid=C650F13022529CD2AABE54748D61FF61.2_cid394
51	51	1BvR536/03	02.10.2003	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde, 	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/10/rk20031002_1bvr053603.html;jsessionid=D169B845D9CB85BEAD85F6D7448BD132.2_cid394
52	52	2BvR740/15	07.06.2015	2	3	3	 die Richter Huber   Müller   Maidowski  	Huber, Müller, Maidowski	Huber, Müller, Maidowski	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/06/rk20150607_2bvr074015.html;jsessionid=92A949750BCDD9329CE36A79BD02D248.2_cid394
53	53	1BvL13/961BvL14/961BvL15/96	30.10.2002	1	NA	NA	 des Präsidenten Papier der Richterinnen Jaeger Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt der Richter Hoffmann-Riem Bryde  	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/10/ls20021030_1bvl001396.html;jsessionid=D7932414D1E859D50676BCFE4BA65281.2_cid393
54	54	2BvR2978/10	21.04.2011	2	3	3	 den Richter Mellinghoff die Richterin Lübbe-Wolff den Richter Huber  	Mellinghoff, Lübbe-Wolff, Huber	Mellinghoff, Lübbe-Wolff, Huber	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/04/rk20110421_2bvr297810.html;jsessionid=B90036CC1DF4004E54AECFF2307C4278.2_cid383
55	55	2BvR626/90	18.09.1998	2	1	1	 Sommer Jentsch Hassemer  	Sommer, Jentsch, Hassemer	Sommer, Jentsch, Hassemer	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/09/rk19980918_2bvr062690.html;jsessionid=8824619D920E8E0A4A7F07BACC9697D5.2_cid394
56	56	1BvQ28/011BvQ30/01	12.07.2001	1	1	1	 den Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/07/qk20010712_1bvq002801.html;jsessionid=B4ECEEA079C5353FEB10DBB19E913FEE.2_cid392
57	57	2BvR307/01	28.03.2002	2	4	4	 die Richterin Präsidentin Limbach die Richter Jentsch Di Fabio  	Limbach, Jentsch, Di Fabio	Limbach, Jentsch, DiFabio	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/03/rk20020328_2bvr030701.html;jsessionid=F38DEF64098EE1A9A586299319C3E411.2_cid393
58	58	1BvL11/021BvL12/021BvL13/021BvL16/021BvL17/02	03.02.2003	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/02/lk20030203_1bvl001102.html;jsessionid=C3AFB06AEFD5EC797F45B0D522DB6A85.2_cid361
59	59	1BvR2624/05	20.07.2011	1	3	3	 den Vizepräsidenten Kirchhof den Richter Schluckebier die Richterin Baer  	Kirchhof, Schluckebier, Baer	Kirchhof, Schluckebier, Baer	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/07/rk20110720_1bvr262405.html;jsessionid=A30BAA91BD38623B6BA27EDBE2D8CF31.2_cid392
60	60	2BvR2360/95	15.09.1999	2	2	2	 Präsidentin Limbach die Richter Hassemer Broß  	Limbach, Hassemer, Broß	Limbach, Hassemer, Broß	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/09/rk19990915_2bvr236095.html;jsessionid=39487BDE873AD798016960F1CDE8A13D.2_cid361
61	61	1BvR47/05	08.03.2011	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/03/rk20110308_1bvr004705.html;jsessionid=50F91E4FF539A4ECC579B98A5E1F6B57.2_cid393
62	62	1BvR1351/95	02.05.2006	1	1	1	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/05/rk20060502_1bvr135195.html;jsessionid=509A5631E1AB873511A5D5EE9AB44D75.2_cid394
63	63	2BvR513/06	12.07.2006	2	1	NA	 den Vizepräsidenten Hassemer die Richter Di Fabio Gerhardt  	Hassemer, Di Fabio, Gerhardt	Hassemer, DiFabio, Gerhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/07/rk20060712_2bvr051306.html;jsessionid=0ACA0B4BA9BC326B8E992B364F7741A6.2_cid393
64	64	2BvR574/99	29.04.2002	2	NA	3	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/04/rk20020429_2bvr057499.html;jsessionid=89F26C3A49D9C2D2FD125543AEDAED33.2_cid370
65	65	1BvR117/02	16.05.2002	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/05/rk20020516_1bvr011702.html;jsessionid=F305721248FB0E1E5A52D48E29C3C809.2_cid394
66	66	2BvE5/99	25.03.1999	2	NA	NA	 Präsidentin Limbach Kirchhof Winter Sommer Jentsch Hassemer Broß Osterloh  	Limbach, Kirchhof, Winter, Sommer, Jentsch, Hassemer, Broß, Osterloh	Limbach, Kirchhof, Winter, Sommer, Jentsch, Hassemer, Broß, Osterloh	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/03/es19990325_2bve000599.html;jsessionid=C1FA29B8E2193C7A244136CE942B2960.2_cid392
67	67	1BvR822/93	18.11.1998	1	NA	3	 den Vizepräsidenten Papier die Richterin Haas den Richter Steiner  	Papier, Haas, Steiner	Papier, Haas, Steiner	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/11/rk19981118_1bvr082293.html;jsessionid=080D6BDF486E984FB41071EFB67493B1.2_cid370
